NAME, LAT, LON, RAW
Aag / Arik volcano, 53.31000, 158.60001, 53.31000&deg;N / 158.60001&deg;E
Mount Adams, 44.08700, -74.026, 44.08700&deg;N / 74.026&deg;W
313 Slab (Small Adventures Wall) (5.4-5.12), 38.65300, -109.72, 38.65300&deg;N / 109.72&deg;W
Achar de Alano, 42.84123, -0.78861, 42.84123&deg;N / 0.78861&deg;W
"A" Peak, 48.23842, -115.69874, 48.23842&deg;N / 115.69874&deg;W
71 Mountain, 37.93780, -107.2678, 37.93780&deg;N / 107.2678&deg;W
Abajo Peak, 37.83900, -109.462, 37.83900&deg;N / 109.462&deg;W
A'Ghlas-Bheinn, 57.25556, -5.30434, 57.25556&deg;N / 5.30434&deg;W
Mount Abraham VT, 44.12040, -72.9363, 44.12040&deg;N / 72.9363&deg;W
Adams Mountain, 48.50839, -114.68728, 48.50839&deg;N / 114.68728&deg;W
Abernathy Peak, 48.48000, -120.517, 48.48000&deg;N / 120.517&deg;W
Abdal Musa, 40.40850, 39.06674, 40.40850&deg;N / 39.06674&deg;E
2nd Meat Wall 5.9-5.13, 38.13050, -109.585, 38.13050&deg;N / 109.585&deg;W
50-40 Peak, 49.19166, -125.2824, 49.19166&deg;N / 125.2824&deg;W
Äbeni Flue, 46.50855, 7.95170, 46.50855&deg;N / 7.95170&deg;E
5.8 Sanctuary 5.4-5.10c, 30.24510, -97.7979, 30.24510&deg;N / 97.7979&deg;W
AB Mountain, 59.52889, -135.28333, 59.52889&deg;N / 135.28333&deg;W
Adelfoi, 34.95501, 32.99456, 34.95501&deg;N / 32.99456&deg;E
Acker Rock, 43.05300, -122.644, 43.05300&deg;N / 122.644&deg;W
Adder Mountain, 49.24875, -125.31753, 49.24875&deg;N / 125.31753&deg;W
Adelfoi, 34.95501, 32.99456, 34.95501&deg;N / 32.99456&deg;E
Mount Abraham ME, 44.97220, -70.3264, 44.97220&deg;N / 70.3264&deg;W
Abiel Peak, 47.35207, -121.46933, 47.35207&deg;N / 121.46933&deg;W
Abert Rim, 42.38838, -120.23446, 42.38838&deg;N / 120.23446&deg;W
6460 'Lost Peak', 37.20495, -112.91675, 37.20495&deg;N / 112.91675&deg;W
Abak, 35.98130, 51.51570, 35.98130&deg;N / 51.51570&deg;E
Volcán Acatenango, 14.50143, -90.87531, 14.50143&deg;N / 90.87531&deg;W
Adams Peak, 39.91060, -120.1003, 39.91060&deg;N / 120.1003&deg;W
Punta di l'Acellu, 41.80030, 9.21461, 41.80030&deg;N / 9.21461&deg;E
Ackerlspitze, 47.55907, 12.34756, 47.55907&deg;N / 12.34756&deg;E
