NAME, LAT, LON, RAW, HITS, SCORE
Abbey Hill, 53.13946, -9.04507, 53.13946&deg;N / 9.04507&deg;W, 1657 , 77.91
6460 'Lost Peak', 37.20495, -112.91675, 37.20495&deg;N / 112.91675&deg;W, 6179 , 87.76
313 Slab (Small Adventures Wall) (5.4-5.12), 38.65300, -109.72, 38.65300&deg;N / 109.72&deg;W, 1765 , 75.81
Acherito, 42.89720, -0.7422, 42.89720&deg;N / 0.7422&deg;W, 13753 , 85.36
Adelfoi, 34.95501, 32.99456, 34.95501&deg;N / 32.99456&deg;E, 5273 , 80.49
2nd Meat Wall 5.9-5.13, 38.13050, -109.585, 38.13050&deg;N / 109.585&deg;W, 11251 , 83.1
Abel Peak (Peak 11516), 43.78650, -114.1368, 43.78650&deg;N / 114.1368&deg;W, 5606 , 76.46
A Muvrella, 42.41046, 8.91161, 42.41046&deg;N / 8.91161&deg;E, 5014 , 81.18
A2, 52.15119, -117.09984, 52.15119&deg;N / 117.09984&deg;W, 14665 , 87.76
50-40 Peak, 49.19166, -125.2824, 49.19166&deg;N / 125.2824&deg;W, 21962 , 88.6
Adelfoi, 34.95501, 32.99456, 34.95501&deg;N / 32.99456&deg;E, 5273 , 80.49
Adams Mountain, 48.50839, -114.68728, 48.50839&deg;N / 114.68728&deg;W, 5939 , 84.27
A'Ghlas-Bheinn, 57.25556, -5.30434, 57.25556&deg;N / 5.30434&deg;W, 6952 , 81.18
"A" Peak, 48.23842, -115.69874, 48.23842&deg;N / 115.69874&deg;W, 18998 , 86.71
Abert Rim, 42.38838, -120.23446, 42.38838&deg;N / 120.23446&deg;W, 18901 , 85.36
Adams Peak, 39.91060, -120.1003, 39.91060&deg;N / 120.1003&deg;W, 17808 , 83.1
A-1 Peak, 40.76810, -110.8332, 40.76810&deg;N / 110.8332&deg;W, 21065 , 90.63
5.8 Sanctuary 5.4-5.10c, 30.24510, -97.7979, 30.24510&deg;N / 97.7979&deg;W, 1705 , 75.81
Mount Abraham VT, 44.12040, -72.9363, 44.12040&deg;N / 72.9363&deg;W, 64453 , 83.69
Aag / Arik volcano, 53.31000, 158.60001, 53.31000&deg;N / 158.60001&deg;E, 20635 , 83.78
Adamello, 46.15540, 10.49660, 46.15540&deg;N / 10.49660&deg;E, 19906 , 90.81
Adder Mountain, 49.24875, -125.31753, 49.24875&deg;N / 125.31753&deg;W, 13204 , 83.69
Adam Peak (NV), 41.16060, -117.3056, 41.16060&deg;N / 117.3056&deg;W, 5957 , 89.01
Abdal Musa, 40.40850, 39.06674, 40.40850&deg;N / 39.06674&deg;E, 8363 , 88.19
Mount Aberdeen, 51.37889, -116.24972, 51.37889&deg;N / 116.24972&deg;W, 19106 , 89.01
Volcán Acatenango, 14.50143, -90.87531, 14.50143&deg;N / 90.87531&deg;W, 26159 , 91.45
Ackerlspitze, 47.55907, 12.34756, 47.55907&deg;N / 12.34756&deg;E, 5097 , 86.85
71 Mountain, 37.93780, -107.2678, 37.93780&deg;N / 107.2678&deg;W, 9310 , 87.31
Abak, 35.98130, 51.51570, 35.98130&deg;N / 51.51570&deg;E, 12012 , 88.19
Cyprus, 35.03629, 33.23877, 35.03629&deg;N / 33.23877&deg;E, 13282 , 90.48
Abiel Peak, 47.35207, -121.46933, 47.35207&deg;N / 121.46933&deg;W, 9946 , 83.1
Äbeni Flue, 46.50855, 7.95170, 46.50855&deg;N / 7.95170&deg;E, 21113 , 79.21
Achar de Alano, 42.84123, -0.78861, 42.84123&deg;N / 0.78861&deg;W, 7226 , 77.47
